question,answer
What kind of projects are showcased in fairs?,"Projects in areas like IoT, AI, and application development are showcased."
How do alumni contribute to placements?,"Alumni provide industry connections, mentor students, and help with placement preparation."
What topics are covered in research paper reviews?,"Topics include advancements in AI, IoT applications, and cybersecurity innovations."
Which student achievement received international recognition?,Winning 2nd rank in the MYOSA national contest by IEEE Sensors Council brought international recognition.
What is the focus of seminars on emerging technologies?,"The focus includes AI governance, advanced IoT systems, and cloud innovation."
Which programs aim at confidence building?,"Mock interviews, panel discussions, and outbound training programs focus on building confidence."
How does the department align with regional needs?,"By incorporating region-specific case studies, collaborations, and courses into the curriculum."
What career paths do ICT graduates pursue?,"Graduates pursue careers in software development, cloud security, AI, and VLSI design."
What is the vision of the Department of Information and Communication Technology (ICT)?,"To build students’ capacity through quality education that enables them to address the problems of industries and society, and to become contributors."
What is the mission of the ICT department?,"The mission includes project-based learning, blended teaching and assessment, exposure to various domains, and industry interaction to make students industry-ready."
What are the core subjects in Semester 1 of the B.Tech ICT program?,"Differential and Integral Calculus, Electrical Circuits, Basics of Electronics Engineering, Reading and Writing for Technology, Introduction to Computer Programming, Foundation Skills in Sensor Interfacing, ICT Workshop."
How many assistant and associate professors are there in the ICT department?,The department has 14 assistant professors and 4 associate professors.
What are the credit requirements for B.Tech batches before and after 2021?,2017–2020 Entry Batch: 180–183 credits; 2021 onwards Entry Batch: 160–163 credits.
What skills are targeted by the Data Science Club?,"Data Visualization, Statistical Analysis, R, Python, SQL, and Data Mining."
What is the scope of ICT Engineers?,"Fields include Embedded Hardware/Software, VLSI Design, IoT, AI/ML, Data Analytics, Cloud Computing, DevOps, Networks and Security, and Software Development."
What are the international research internship opportunities mentioned in the document?,"Students had internships with professors from institutions such as University of British Columbia, Simon Fraser University, and Arizona State University, among others."
What were the department's placement statistics for the 2020-24 batch?,"Placement rate: 98%, Average Package: ?4.86 LPA, Highest Package: ?18 LPA."
What are the student outcomes expected in ICT graduates?,"Outcomes include applying mathematics and ICT knowledge, mastering computing tools, analyzing complex problems, working in multidisciplinary teams, designing socio-economic solutions, and understanding business practices in engineering."
What is the overall placement rate for the 2017-21 batch?,97%.
What are some of the career options in ICT?,"Roles include Systems Engineer, Solutions Specialist, Product Engineer, Software QA Analyst, System Architect, Data Analyst, IoT Solutions Specialist, Cyber Security Expert, and Embedded Systems Developer."
What are the objectives of the student clubs in the ICT department?,"Objectives include skill development, leadership opportunities, personal growth, community building, networking, career development, and placement guidance."
What are the key teaching-learning approaches in the ICT department?,"Approaches include project-based learning, blended teaching, MOOC courses, hands-on workshops, outcome-based assessments, field visits, and long-hour coding/design sessions."
What are the long-term goals of the ICT department?,"Providing solutions to industrial problems, offering consultancy, developing IoT labs, creating international placement opportunities, and launching next-gen programs."
What types of extracurricular activities are available for ICT students?,"Activities include cultural events, sports fiestas, drawing competitions, outbound training, and celebrations like Rangoli Festivals, Kite Flying, and Holi."
What are the major points of discussion during BOS (Board of Studies) meetings?,"Annual report, syllabus modification, value-added courses, CO-PO target and attainment, domain specialization, and MOOC credit considerations."
What are the primary focus areas for the curriculum design in the ICT department?,"Employability, skill development, entrepreneurship, regional-to-global needs, recent trends in technology, stakeholder inputs, and flexibility for subject selection."
What is the blended teaching-learning process in the ICT department?,"Activities include long coding/design sessions, hands-on workshops, learner-centric approaches, field visits, MOOC certifications, and industrial internships."
What are the industry liaison companies mentioned?,"Companies include KALE Logistics Solutions, Version Solutions, eInfochips, ZURU Tech, and Microcircuits."
How is the department preparing students to be industry-ready?,"Through project-based learning, industrial internships, field visits, workshops, MOOC certifications, and continuous interaction with industries."
What are the achievements in research and development in the ICT department?,"Publications in SCI and SCOPUS journals, citations exceeding 999 in 2024, and best research articles published in journals like IEEE Transactions and Alexandria Engineering Journal."
What are the key co-curricular activities organized by the ICT department?,"Activities include tech quizzes, industry visits, expert talks, mock interviews, project fairs, and STEM workshops."
What are the key components of the curriculum credit distribution?,"Components include PCC-ICT (48%), ESC (13%), PEC-ICT (15%), PROJ-ICT (9%), BSC (8%), HSMC (6%), and MC (1%)."
What are the international collaborations of the ICT department?,"Collaborations include student and faculty exchange programs with universities in Romania, Poland, Canada, and Taiwan."
What awards and recognitions have ICT faculty and students received?,"Awards include leadership in community project-based learning, hackathon prizes, Best Research Author Award, and recognition in national and international competitions like MYOSA and IEEE contests."
What are the career opportunities for ICT engineers?,"Careers include roles in software development, data analytics, AI/ML, embedded systems, IoT, network and security, robotics, cloud computing, and VLSI chip design."
What facilities are provided in the ICT department's laboratories?,"Labs include VLSI Lab, Data Science & AI Lab, Web Development Lab, Computer Networks & Security Lab, IoT Lab, and Programming Lab."
What is the highest package received by ICT graduates from the 2020-24 batch?,?18 LPA.
What types of international exposure are provided to ICT students?,"Opportunities include internships, exchange programs, and collaborations with universities like University of British Columbia, Simon Fraser University, and Arizona State University."
How are outcome-based assessment methods implemented in the ICT department?,"Methods include open-book tests, projects, case studies, blog writing, MOOC certifications, practical exams, and research paper reviews."
What is the message from the ICT department's HoD?,"The HoD emphasizes creating next-gen engineers, promoting hands-on and interdisciplinary learning, and developing industry-relevant programs to shape world leaders."
What skills are taught in the Competitive Programming Club?,"Skills include C, C++, Java, Data Structures, Algorithms, Serverless Computing, and DevOps on AWS."
What are the major domains of specialization offered in ICT?,"Domains include AI/ML, IoT, VLSI Design, Cloud Computing, Software Development, Embedded Systems, and Cybersecurity."
What is the significance of the Param Shavak supercomputer at Marwadi University?,"It enhances research and computation capabilities in AI, ML, and ICT engineering, aiding students and faculty in high-end research projects."
What is the vision of the Department of Information and Communication Technology (ICT)?,"To build students’ capacity through quality education that enables them to address the problems of industries and society, and to become contributors."
What is the mission of the ICT department?,"The mission includes project-based learning, blended teaching and assessment, exposure to various domains, and industry interaction to make students industry-ready."
Who is the HoD of the ICT department?,The HoD of the ICT department is Mr. Chandrasinh Parmar.
What is the HoD's message to the students and stakeholders?,"The HoD emphasizes creating next-gen engineers, promoting hands-on and interdisciplinary learning, and developing industry-relevant programs to shape world leaders."
What are the core subjects in Semester 1 of the B.Tech ICT program?,"Differential and Integral Calculus, Electrical Circuits, Basics of Electronics Engineering, Reading and Writing for Technology, Introduction to Computer Programming, Foundation Skills in Sensor Interfacing, ICT Workshop."
How many assistant and associate professors are there in the ICT department?,The department has 14 assistant professors and 4 associate professors.
What are the credit requirements for B.Tech batches before and after 2021?,2017–2020 Entry Batch: 180–183 credits; 2021 onwards Entry Batch: 160–163 credits.
What skills are targeted by the Data Science Club?,"Data Visualization, Statistical Analysis, R, Python, SQL, and Data Mining."
What is the scope of ICT Engineers?,"Fields include Embedded Hardware/Software, VLSI Design, IoT, AI/ML, Data Analytics, Cloud Computing, DevOps, Networks and Security, and Software Development."
What are the international research internship opportunities mentioned in the document?,"Students had internships with professors from institutions such as University of British Columbia, Simon Fraser University, and Arizona State University, among others."
What were the department's placement statistics for the 2020-24 batch?,"Placement rate: 98%, Average Package: ?4.86 LPA, Highest Package: ?18 LPA."
What are the student outcomes expected in ICT graduates?,"Outcomes include applying mathematics and ICT knowledge, mastering computing tools, analyzing complex problems, working in multidisciplinary teams, designing socio-economic solutions, and understanding business practices in engineering."
What is the overall placement rate for the 2017-21 batch?,97%.
What are some of the career options in ICT?,"Roles include Systems Engineer, Solutions Specialist, Product Engineer, Software QA Analyst, System Architect, Data Analyst, IoT Solutions Specialist, Cyber Security Expert, and Embedded Systems Developer."
What are the objectives of the student clubs in the ICT department?,"Objectives include skill development, leadership opportunities, personal growth, community building, networking, career development, and placement guidance."
What are the key teaching-learning approaches in the ICT department?,"Approaches include project-based learning, blended teaching, MOOC courses, hands-on workshops, outcome-based assessments, field visits, and long-hour coding/design sessions."
What are the long-term goals of the ICT department?,"Providing solutions to industrial problems, offering consultancy, developing IoT labs, creating international placement opportunities, and launching next-gen programs."
What types of extracurricular activities are available for ICT students?,"Activities include cultural events, sports fiestas, drawing competitions, outbound training, and celebrations like Rangoli Festivals, Kite Flying, and Holi."
What are the major points of discussion during BOS (Board of Studies) meetings?,"Annual report, syllabus modification, value-added courses, CO-PO target and attainment, domain specialization, and MOOC credit considerations."
What are the primary focus areas for the curriculum design in the ICT department?,"Employability, skill development, entrepreneurship, regional-to-global needs, recent trends in technology, stakeholder inputs, and flexibility for subject selection."
What is the blended teaching-learning process in the ICT department?,"Activities include long coding/design sessions, hands-on workshops, learner-centric approaches, field visits, MOOC certifications, and industrial internships."
What are the industry liaison companies mentioned?,"Companies include KALE Logistics Solutions, Version Solutions, eInfochips, ZURU Tech, and Microcircuits."
How is the department preparing students to be industry-ready?,"Through project-based learning, industrial internships, field visits, workshops, MOOC certifications, and continuous interaction with industries."
What are the achievements in research and development in the ICT department?,"Publications in SCI and SCOPUS journals, citations exceeding 999 in 2024, and best research articles published in journals like IEEE Transactions and Alexandria Engineering Journal."
What are the key co-curricular activities organized by the ICT department?,"Activities include tech quizzes, industry visits, expert talks, mock interviews, project fairs, and STEM workshops."
What are the key components of the curriculum credit distribution?,"Components include PCC-ICT (48%), ESC (13%), PEC-ICT (15%), PROJ-ICT (9%), BSC (8%), HSMC (6%), and MC (1%)."
What are the international collaborations of the ICT department?,"Collaborations include student and faculty exchange programs with universities in Romania, Poland, Canada, and Taiwan."
What awards and recognitions have ICT faculty and students received?,"Awards include leadership in community project-based learning, hackathon prizes, Best Research Author Award, and recognition in national and international competitions like MYOSA and IEEE contests."
